Date,Time,ModelName,ModelCode,Defects,Result,PoseNumber
06-05-2025 00:00:00,06-05-2025 12:40:15,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],True,2
06-05-2025 00:00:00,06-05-2025 12:40:15,HONDA350,"20002953-000707-1225-Rev-001",["#C126","#X1"],True,3
06-05-2025 00:00:00,06-05-2025 12:40:16,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,4
06-05-2025 00:00:00,06-05-2025 12:40:16,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],True,5
06-05-2025 00:00:00,06-05-2025 12:40:17,HONDA350,"20002953-000707-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,6
06-05-2025 00:00:00,06-05-2025 12:40:17,HONDA350,"20002953-000707-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,7
06-05-2025 00:00:00,06-05-2025 12:40:17,HONDA350,"20002953-000707-1225-Rev-001",["#C122","#C102"],True,8
06-05-2025 00:00:00,06-05-2025 12:40:18,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],True,9
06-05-2025 00:00:00,06-05-2025 12:40:18,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#C117"],True,10
06-05-2025 00:00:00,06-05-2025 12:40:19,HONDA350,"20002953-000708-1225-Rev-001",["#C127"],True,12
06-05-2025 00:00:00,06-05-2025 12:40:19,HONDA350,"20002953-000708-1225-Rev-001",["Unable to locate ROI","#C126","#X1"],True,13
06-05-2025 00:00:00,06-05-2025 12:40:20,HONDA350,"20002953-000708-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],False,14
06-05-2025 00:00:00,06-05-2025 12:40:20,HONDA350,"20002953-000708-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],True,15
06-05-2025 00:00:00,06-05-2025 12:40:21,HONDA350,"20002953-000708-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,16
06-05-2025 00:00:00,06-05-2025 12:40:22,HONDA350,"20002953-000708-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,17
06-05-2025 00:00:00,06-05-2025 12:40:22,HONDA350,"20002953-000708-1225-Rev-001",["#C122","#C102"],True,18
06-05-2025 00:00:00,06-05-2025 12:40:22,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],True,19
06-05-2025 00:00:00,06-05-2025 12:40:23,HONDA350,"20002953-000708-1225-Rev-001",["#C110","#C149","#C117"],True,20
06-05-2025 00:00:00,06-05-2025 12:50:47,HONDA350,"20002953-000707-1225-Rev-001",["#C127"],True,2
06-05-2025 00:00:00,06-05-2025 12:50:47,HONDA350,"20002953-000707-1225-Rev-001",["#C126","#X1"],True,3
06-05-2025 00:00:00,06-05-2025 12:50:48,HONDA350,"20002953-000707-1225-Rev-001",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],False,4
06-05-2025 00:00:00,06-05-2025 12:50:48,HONDA350,"20002953-000707-1225-Rev-001",["#R66","#C16","#L14","#R10","#F10"],True,5
06-05-2025 00:00:00,06-05-2025 12:50:49,HONDA350,"20002953-000707-1225-Rev-001",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,6
06-05-2025 00:00:00,06-05-2025 12:50:49,HONDA350,"20002953-000707-1225-Rev-001",["#C17","#C18","#C49","#C34"],True,7
06-05-2025 00:00:00,06-05-2025 12:50:50,HONDA350,"20002953-000707-1225-Rev-001",["#C122","#C102"],True,8
06-05-2025 00:00:00,06-05-2025 12:50:50,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#F100","#TEMPSENSOR","#RE100","#L101"],False,9
06-05-2025 00:00:00,06-05-2025 12:50:50,HONDA350,"20002953-000707-1225-Rev-001",["#C110","#C149","#C117"],True,10
06-05-2025 00:00:00,06-05-2025 12:50:51,HONDA350,"nocodefound",["#C127"],True,12
06-05-2025 00:00:00,06-05-2025 12:50:51,HONDA350,"nocodefound",["Unable to locate ROI","#C126","#X1"],True,13
06-05-2025 00:00:00,06-05-2025 12:50:52,HONDA350,"nocodefound",["#C115","#C103","#C105","#C116","#C47","#C49","#C18","#D21","#D108","#D106"],True,14
06-05-2025 00:00:00,06-05-2025 12:50:53,HONDA350,"nocodefound",["#R66","#C16","#L14","#R10","#F10"],True,15
06-05-2025 00:00:00,06-05-2025 12:50:53,HONDA350,"nocodefound",["#L1","#D10","#C10","#C21","#C13","#C12","#L10","#C15","#W10"],True,16
06-05-2025 00:00:00,06-05-2025 12:50:54,HONDA350,"nocodefound",["#C17","#C18","#C49","#C34"],True,17
06-05-2025 00:00:00,06-05-2025 12:50:54,HONDA350,"nocodefound",["#C122","#C102"],True,18
